Comment,Designator,Footprint,LCSC
10u,"C1,C4,C17",Capacitor_SMD:C_0805_2012Metric,C15850
100n,"C2,C5,C6,C7,C9,C11,C12,C13,C14,C15,C16",Capacitor_SMD:C_0402_1005Metric,C1525
1u,"C8,C10",Capacitor_SMD:C_0402_1005Metric,C52923
LED,D1,LED_SMD:LED_0603_1608Metric,C2290
1k,R1,Resistor_SMD:R_0402_1005Metric,C11702
10k,R2,Resistor_SMD:R_0402_1005Metric,C25744
470R,R3,Resistor_SMD:R_0402_1005Metric,C25117
SW_Push,SW1,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,C318884
NCP1117-3.3_SOT223,U1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C146799
W25Q128JVS,U2,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,C97521
RP2040,U3,RP2040_minimal:RP2040-QFN-56,C2040
Si5351A-B-GT,U4,Package_SO:MSOP-10_3x3mm_P0.5mm,C504891
Crystal_GND24,Y2,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C1985619
